Ref,Val,Package,PosX,PosY,Rot,Side
"R90","39","GSG-0402",4.748945,-4.360402,90.000000,top
"R91","39","GSG-0402",4.708945,-4.360402,90.000000,top
"R93","10k","GSG-0402",5.112150,-5.411165,180.000000,top
"R94","39","GSG-0402",4.765150,-5.696165,180.000000,top
"R96","39","GSG-0402",4.668945,-4.360402,90.000000,top
"R98","39","GSG-0402",4.627150,-4.361165,90.000000,top
"R99","39","GSG-0402",4.587150,-4.361165,90.000000,top
"R100","39","GSG-0402",4.547150,-4.361165,90.000000,top
"R104","10k","GSG-0402",4.603417,-5.915811,180.000000,top
"R105","10k","GSG-0402",4.748417,-5.805811,90.000000,top
"SW1","DFU","GSG-SWITCH-FSMRA",2.028449,-4.199039,-90.000000,top
"SW2","RESET","GSG-SWITCH-FSMRA",2.028449,-3.687228,-90.000000,top
"T1","MIX_IN_BALUN","GSG-B0310J50100AHF",3.306417,-5.762567,-90.000000,top
"T2","MIX_OUT_BALUN","GSG-B0310J50100AHF",3.525417,-5.532567,0.000000,top
"T3","RX_BALUN","GSG-2500BL14M100",3.792445,-5.267902,90.000000,top
"T4","TX_BALUN","GSG-2500BL14M100",3.912445,-5.267902,90.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.997545,-5.353002,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",2.535345,-4.979102,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.624145,-5.375402,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.471845,-5.115902,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.887039,-5.579417,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",2.663039,-5.117417,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.536945,-5.847202,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.675139,-5.795617,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.658845,-5.947002,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",4.044945,-5.669502,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",2.922150,-5.654165,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",2.871150,-5.272165,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.076245,-4.911602,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",3.252150,-4.771165,0.000000,top
"TESTPOINT-30MIL-MASKONLY","VAL**","GSG-TESTPOINT-30MIL-MASKONLY",2.475445,-5.055402,0.000000,top
"U1","SKY13453","SKY13453-385LF",3.712039,-5.878417,-90.000000,top
"U2","SKY13453","SKY13453-385LF",3.101039,-5.002417,0.000000,top
"U3","RX_LOWPASS_FILTER","GSG-LP0603",2.750134,-4.929520,0.000000,top
"U4","RFFC5072","GSG-QFN32",3.206417,-5.512567,-90.000000,top
"U5","SKY13453","SKY13453-385LF",2.605039,-4.829417,90.000000,top
"U6","SKY13453","SKY13453-385LF",2.888039,-4.830417,-90.000000,top
"U7","SKY13453","SKY13453-385LF",3.457039,-5.846417,0.000000,top
"U8","RX_HIGHPASS_FILTER","GSG-HP-DEA",2.735134,-4.729520,180.000000,top
"U9","SKY13317","GSG-SKY13317-373LF",2.624945,-5.061402,180.000000,top
"U10","SKY13453","SKY13453-385LF",3.731039,-5.528417,90.000000,top
"U11","SKY13453","SKY13453-385LF",3.876039,-5.453417,0.000000,top
"U12","SKY13317","GSG-SKY13317-373LF",2.619394,-5.356874,-90.000000,top
"U13","TRF37B73","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",2.383039,-5.383417,0.000000,top
"U14","SKY13317","GSG-SKY13317-373LF",2.523039,-5.565874,90.000000,top
"U17","MAX2837","GSG-QFN48-6",3.837445,-4.887902,90.000000,top
"U18","MAX5864","GSG-QFN48-7",3.610945,-3.729031,90.000000,top
"U19","SI5351C","GSG-QFN20-4",4.578417,-5.715811,90.000000,top
"U20","W25Q80","GSG-SOIC8-208",5.888945,-5.547402,180.000000,top
"U21","TPS62410","GSG-S-PVSON-N10",6.234354,-3.708929,180.000000,top
"U23","LPC4320FBD144","GSG-LQFP144",5.435842,-4.818893,-135.000000,top
"U24","GSG-XC2C64A-7VQG100C","GSG-VQ100",4.549945,-3.908402,-90.000000,top
"U25","TRF37B73","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm",2.719039,-5.474417,-90.000000,top
"X1","GSG-XTAL4PIN","GSG-XTAL3.2x2.5mm",4.468417,-5.945811,90.000000,top
"X2","MCU_XTAL","GSG-XTAL3.2x2.5mm",5.983143,-4.512008,45.000000,top
"X3","RTC_XTAL","GSG-XTAL-AB26TRQ",5.918213,-5.344709,0.000000,top
